x     rho     p     u
0.00611 1 1 8.3582e-17
0.00612 1 1 8.35819e-17
0.00613 1 1 8.35819e-17
0.00614 1 1 8.35819e-17
0.00615 1 1 8.35819e-17
0.00616 1 1 8.35818e-17
0.00617 1 1 8.35818e-17
0.00618 1 1 8.35818e-17
0.00619 1 1 8.35818e-17
0.0062 1 1 8.35817e-17
0.00621 1 1 8.35817e-17
0.00622 1 1 8.35817e-17
0.00623 1 1 8.35817e-17
0.00624 1 1 8.35816e-17
0.00625 1 1 8.35816e-17
0.00626 1 1 8.35816e-17
0.00627 1 1 8.35816e-17
0.00628 1 1 8.35815e-17
0.00629 1 1 8.35815e-17
0.0063 1 1 8.35815e-17
0.00631 1 1 8.35815e-17
0.00632 1 1 8.35814e-17
0.00633 1 1 8.35814e-17
0.00634 1 1 8.35814e-17
0.00635 1 1 8.35814e-17
0.00636 1 1 8.35813e-17
0.00637 1 1 8.35813e-17
0.00638 1 1 8.35813e-17
0.00639 1 1 8.35813e-17
0.0064 1 1 8.35812e-17
0.00641 1 1 8.35812e-17
0.00642 1 1 8.35812e-17
0.00643 1 1 8.35812e-17
0.00644 1 1 8.35811e-17
0.00645 1 1 8.35811e-17
0.00646 1 1 8.35811e-17
0.00647 1 1 8.35811e-17
0.00648 1 1 8.3581e-17
0.00649 1 1 8.3581e-17
0.0065 1 1 8.3581e-17
0.00651 1 1 8.3581e-17
0.00652 1 1 8.35809e-17
0.00653 1 1 8.35809e-17
0.00654 1 1 8.35809e-17
0.00655 1 1 8.35809e-17
0.00656 1 1 8.35809e-17
0.00657 1 1 8.35809e-17
0.00658 1 1 8.35808e-17
0.00659 1 1 8.35808e-17
0.0066 1 1 8.35808e-17
0.00661 1 1 8.35808e-17
0.00662 1 1 8.35807e-17
0.00663 1 1 8.35807e-17
0.00664 1 1 8.35807e-17
0.00665 1 1 8.35807e-17
0.00666 1 1 8.35806e-17
0.00667 1 1 8.35806e-17
0.00668 1 1 8.35806e-17
0.00669 1 1 8.35806e-17
0.0067 1 1 8.35805e-17
0.00671 1 1 8.35805e-17
0.00672 1 1 8.35805e-17
0.00673 1 1 8.35805e-17
0.00674 1 1 8.35805e-17
0.00675 1 1 8.35805e-17
0.00676 1 1 8.35804e-17
0.00677 1 1 8.35804e-17
0.00678 1 1 8.35804e-17
0.00679 1 1 8.35804e-17
0.0068 1 1 8.35803e-17
0.00681 1 1 8.35803e-17
0.00682 1 1 8.35803e-17
0.00683 1 1 8.35803e-17
0.00684 1 1 8.35803e-17
0.00685 1 1 8.35803e-17
0.00686 1 1 8.35802e-17
0.00687 1 1 8.35802e-17
0.00688 1 1 8.35802e-17
0.00689 1 1 8.35802e-17
0.0069 1 1 8.35801e-17
0.00691 1 1 8.35801e-17
0.00692 1 1 8.35801e-17
0.00693 1 1 8.35801e-17
0.00694 1 1 8.35801e-17
0.00695 1 1 8.35801e-17
0.00696 1 1 8.358e-17
0.00697 1 1 8.358e-17
0.00698 1 1 8.358e-17
0.00699 1 1 8.358e-17
0.007 1 1 8.358e-17
0.00701 1 1 8.358e-17
0.00702 1 1 8.35799e-17
0.00703 1 1 8.35799e-17
0.00704 1 1 8.35799e-17
0.00705 1 1 8.35799e-17
0.00706 1 1 8.35799e-17
0.00707 1 1 8.35799e-17
0.00708 1 1 8.35798e-17
0.00709 1 1 8.35798e-17
0.0071 1 1 8.35798e-17
0.00711 1 1 8.35798e-17
0.00712 1 1 8.35798e-17
0.00713 1 1 8.35798e-17
0.00714 1 1 8.35797e-17
